#Organism/Name,Strain,BioSample,BioProject,Group,SubGroup,Size (Mb),GC%,Assembly,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Megachile rotundata","",SAMN02953795 ,PRJNA66515,"Animals","Insects",272.661,36.8,GCA_000220905.1 ,-,AFJA01,6266,11824,26024,2011/07/15,2014/08/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/905/GCF_000220905.1_MROT_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/905/GCA_000220905.1_MROT_1.0
"Amaranthus hypochondriacus","",SAMN02315103 ,PRJNA214803,"Plants","Land Plants",502.148,42.2,GCA_000753965.1 ,-,JPXE01,117340,-,-,2014/09/09,2014/09/10,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/753/965/GCA_000753965.1_AHP_1.0
"Neurospora tetrasperma FGSC 2508","FGSC 2508",SAMN02769628 ,PRJNA65273,"Fungi","Ascomycetes",39.1463,49.4,GCA_000213175.1 ,-,AFBT01,81,10380,10380,2011/05/11,2014/08/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/175/GCF_000213175.1_v2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/175/GCA_000213175.1_v2.0
"Epichloe glyceriae E277","E277",SAMN02981346 ,PRJNA67247,"Fungi","Ascomycetes",46.723,45,GCA_000225285.2 ,-,AFRG01,3076,-,-,2011/09/02,2014/08/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/285/GCA_000225285.2_EpiGly_1.0
"Cronartium quercuum f. sp. banksianae CqE3WM","CqE3WM",SAMN02178791 ,PRJNA190830,"Fungi","Basidiomycetes",22.134,41.1,GCA_000500775.1 ,-,AXDN01,17127,-,-,2013/11/27,2014/08/04,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/500/775/GCA_000500775.1_Cro_quer_1.0
"Aciculosporium take MAFF-241224","MAFF-241224",SAMN02981340 ,PRJNA67241,"Fungi","Ascomycetes",58.8364,40.1,GCA_000222935.2 ,-,AFQZ01,3298,-,-,2011/08/03,2014/08/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/935/GCA_000222935.2_AciTa_1.0
"Claviceps fusiformis PRL 1980","PRL 1980",SAMN02981339 ,PRJNA67243,"Fungi","Ascomycetes",52.5856,36.9,GCA_000223055.1 ,-,AFRA01,6930,-,-,2011/08/08,2014/08/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/055/GCA_000223055.1_ClFusi_1.0
"Epichloe brachyelytri E4804","E4804",SAMN02981341 ,PRJNA67245,"Fungi","Ascomycetes",44.2319,40.2,GCA_000222915.1 ,-,AFRB01,5136,-,-,2011/08/03,2014/08/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/915/GCA_000222915.1_EpiBra_1.0
"Conidiobolus coronatus NRRL 28638","NRRL 28638",SAMN00779232 ,PRJNA67455,"Fungi","Other Fungi",39.9037,31.9,GCA_001566745.1 ,-,JXYT01,1050,11229,10572,2016/02/23,2016/02/24,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/566/745/GCA_001566745.1_Conidiobolus_coronatus_NRRL28638
"Periglandula ipomoeae IasaF13","IasaF13",SAMN02981343 ,PRJNA67303,"Fungi","Ascomycetes",35.3016,50.6,GCA_000222875.2 ,-,AFRD01,864,-,-,2011/08/03,2014/08/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/875/GCA_000222875.2_PerIpo_1.0
"Drosophila rhopaloa","",SAMN00715129 ,PRJNA67665,"Animals","Insects",197.376,40.2,GCA_000236305.2 ,-,AFPP02,22819,16752,23490,2011/10/27,2013/11/14,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/305/GCF_000236305.1_Drho_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/236/305/GCA_000236305.2_Drho_2.0
"Drosophila eugracilis","",SAMN00715289 ,PRJNA67709,"Animals","Insects",156.942,40.9,GCA_000236325.2 ,-,AFPQ02,4946,16123,24243,2011/10/27,2013/11/14,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/325/GCF_000236325.1_Deug_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/236/325/GCA_000236325.2_Deug_2.0
"Epichloe amarillans E57","E57",SAMN02981345 ,PRJNA67301,"Fungi","Ascomycetes",38.0624,44.3,GCA_000223075.2 ,-,AFRF01,2180,-,-,2011/08/08,2014/08/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/075/GCA_000223075.2_EpiAma_1.0
"Saimiri boliviensis boliviensis","",SAMN02981369 ,PRJNA67945,"Animals","Mammals",2608.59,41.1,GCA_000235385.1 ,mitochondrion MT:NC_018096.1/HQ644339.1,AGCE01,2686,27316,36241,2011/11/10,2014/08/11,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/385/GCF_000235385.1_SaiBol1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/385/GCA_000235385.1_SaiBol1.0
"Linum usitatissimum","",SAMN00627887 ,PRJNA68161,"Plants","Land Plants",282.202,39.5,GCA_000224295.1 ,-,AFSQ01,48397,-,-,2011/08/22,2014/08/04,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/295/GCA_000224295.1_LinUsi_v1.1
"Phytophthora cinnamomi","",SAMN03921829 ,PRJNA290836,"Protists","Other Protists",53.6914,54,GCA_001314365.1 ,-,LGSJ01,5777,-,-,2015/10/14,2016/03/17,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/314/365/GCA_001314365.1_MP94-48v2
"Heterocephalus glaber","",SAMN00714537 ,PRJNA72441,"Animals","Mammals",2618.2,41.2,GCA_000247695.1 ,mitochondrion MT:NC_015112.1/HQ689652.1,AHKG01,4229,32029,42626,2012/02/15,2015/02/18,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/695/GCF_000247695.1_HetGla_female_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/695/GCA_000247695.1_HetGla_female_1.0
"Epichloe typhina E8","E8",SAMN02981456 ,PRJNA174036,"Fungi","Ascomycetes",41.4386,41.5,GCA_000308955.1 ,-,AMDI01,2744,-,-,2012/10/31,2014/08/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/308/955/GCA_000308955.1_ETyphina_1.0
"Gymnopus luxurians FD-317 M1","FD-317 M1",SAMN00631608 ,PRJNA68535,"Fungi","Basidiomycetes",66.2817,45.1,GCA_000827265.1 ,-,JJNP01,383,22395,22046,2015/01/21,2016/04/15,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/265/GCA_000827265.1_Gymlu1
"Equus asinus","",SAMN03010633 ,PRJNA304024,"Animals","Mammals",2391.05,41.4,GCA_001305755.1 ,mitochondrion MT:NC_001788.1/X97337.1,JREZ01,2167,27227,42247,2015/10/02,2015/10/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/755/GCF_001305755.1_ASM130575v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/755/GCA_001305755.1_ASM130575v1
"Hymenolepis diminuta","",SAMEA1034737 ,PRJEB507,"Animals","Flatworms",165.879,35.3,GCA_000951255.1 ,-,-,13910,-,-,-,-,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/255/GCA_000951255.1_H_diminuta_Denmark
"Triops cancriformis","",SAMD00000484 ,PRJDB1662,"Animals","Other Animals",109.182,41.2,GCA_000981345.1 ,-,BAYF01,60629,-,-,2015/03/26,2015/12/04,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/345/GCA_000981345.1_tcf_1.0
"Mola mola","",SAMN04335856 ,PRJNA305960,"Animals","Fishes",639.452,41.2,GCA_001698575.1 ,-,MBDK01,5552,-,-,2016/08/03,2016/08/08,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/698/575/GCA_001698575.1_ASM169857v1
"Taenia asiatica","",SAMN04230713 ,PRJNA299871,"Animals","Flatworms",168.679,42.1,GCA_001693035.2 ,-,LWMJ02,6900,-,-,2016/07/24,2016/09/02,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/035/GCA_001693035.2_Taenia_asiatica_TASYD01_v1
"Zancudomyces culisetae","COL-18-3",SAMN04488584 ,PRJNA311769,"Fungi","Other Fungi",28.7004,35.363,GCA_001969505.1 ,mitochondrion MT:CM007644.1,LSSK01,1954,8244,8068,2017/01/23,2017/01/25,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/969/505/GCA_001969505.1_ASM196950v1
"Spinacia oleracea","",SAMN02182572 ,PRJNA41497,"Plants","Land Plants",493.772,38,GCA_000510995.2 ,-,AYZV02,103502,21539,23522,2013/12/16,2015/07/22,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/510/995/GCA_000510995.2_Spinach-1.0.3
"Balaenoptera bonaerensis","",SAMD00016608 ,PRJDB1465,"Animals","Mammals",2234.64,40.7,GCA_000978805.1 ,-,BAUQ01,421444,-,-,2015/02/19,2015/09/30,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/805/GCA_000978805.1_ASM97880v1
"Gavia stellata","",SAMN02324832 ,PRJNA261843,"Animals","Birds",1129.69,41.1001,GCA_000690875.1 ,mitochondrion MT:NC_007007.1/AY293618.1,JJRM01,61831,14770,15697,2014/05/03,2016/11/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/875/GCF_000690875.1_ASM69087v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/875/GCA_000690875.1_ASM69087v1
"Scleropages formosus","",SAMN03894411 ,PRJNA347920,"Animals","Fishes",777.359,44,GCA_001624265.1 ,mitochondrion MT:NC_007012.1/DQ023143.1,LGSG01,4819,24709,41445,2016/04/19,2016/11/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/624/265/GCF_001624265.1_ASM162426v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/624/265/GCA_001624265.1_ASM162426v1
"Anisakis simplex","",SAMEA1529932 ,PRJEB496,"Animals","Roundworms",126.87,37.1,GCA_000951095.1 ,-,-,42005,-,-,-,-,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/095/GCA_000951095.1_A_simplex
"Nipponia nippon","",SAMN02596464 ,PRJNA253829,"Animals","Birds",1223.86,42.0001,GCA_000708225.1 ,mitochondrion MT:NC_008132.1/AB104902.1,JMFH01,59555,15343,17089,2014/05/09,2016/11/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/708/225/GCF_000708225.1_ASM70822v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/708/225/GCA_000708225.1_ASM70822v1
"Podiceps cristatus","",SAMN02339891 ,PRJNA212905,"Animals","Birds",1134.92,41.5,GCA_000699545.1 ,-,JMFS01,82923,12155,11707,2014/05/07,2016/11/17,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/545/GCA_000699545.1_ASM69954v1
"Nasalis larvatus","",SAMN02689222 ,PRJNA241312,"Animals","Mammals",3011.97,42.2536,GCA_000772465.1 ,chromosome align_Mm1:CM002998.1; chromosome align_Mm10:CM002999.1; chromosome align_Mm11:CM003000.1; chromosome align_Mm12:CM003001.1; chromosome align_Mm13:CM003002.1; chromosome align_Mm14:CM003003.1; chromosome align_Mm15:CM003004.1; chromosome align_Mm16:CM003005.1; chromosome align_Mm17:CM003006.1; chromosome align_Mm18:CM003007.1; chromosome align_Mm19:CM003008.1; chromosome align_Mm2:CM003009.1; chromosome align_Mm20:CM003010.1; chromosome align_Mm3:CM003011.1; chromosome align_Mm4:CM003012.1; chromosome align_Mm5:CM003013.1; chromosome align_Mm6:CM003014.1; chromosome align_Mm7:CM003015.1; chromosome align_Mm8:CM003016.1; chromosome align_Mm9:CM003017.1; chromosome align_MmX:CM003018.1,JMHX01,319549,-,-,2014/10/30,2014/11/10,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/465/GCA_000772465.1_Charlie1.0
"Rhinopithecus roxellana","",SAMN02427086 ,PRJNA266995,"Animals","Mammals",2899.55,41,GCA_000769185.1 ,mitochondrion MT:NC_008218.1/DQ355300.1,JABR01,135512,28766,37291,2014/10/24,2014/10/28,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/185/GCF_000769185.1_Rrox_v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/185/GCA_000769185.1_Rrox_v1
"Gyrodactylus salaris","Lier",SAMN02726097 ,PRJNA244375,"Animals","Flatworms",67.3807,33.9,GCA_000715275.1 ,-,JJOG01,6075,-,-,2014/06/27,2014/07/30,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/715/275/GCA_000715275.1_Gsalaris_v1
"Diphyllobothrium latum","",SAMEA1463519 ,PRJEB1206,"Animals","Flatworms",531.434,43.7,GCA_000950535.1 ,-,-,140294,-,-,-,-,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/950/535/GCA_000950535.1_D_latum_Geneva
"Trichobilharzia regenti","",SAMEA1876470 ,PRJEB4662,"Animals","Flatworms",701.762,38.8,GCA_000950905.1 ,-,-,188369,-,-,-,-,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/950/905/GCA_000950905.1_T_regenti_v1_0_4
"Lucilia sericata","",SAMN03280979 ,PRJNA268391,"Animals","Insects",319.935,32.2,GCA_001014835.1 ,-,JXPF01,92075,-,-,2015/05/28,2015/05/28,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/014/835/GCA_001014835.1_ASM101483v1
"Tilletia indica","PSWKBGH_1",SAMN05257085 ,PRJNA325874,"Fungi","Basidiomycetes",37.4603,54.6,GCA_001689995.1 ,-,MAPW01,366,-,-,2016/07/20,2016/07/20,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/689/995/GCA_001689995.1_PSWKBGD_1_1
"Rousettus aegyptiacus","",SAMN04287759 ,PRJNA309421,"Animals","Mammals",1910.25,40,GCA_001466805.2 ,mitochondrion MT:NC_007393.1/AB205183.1,LOCP02,2490,24986,48803,2015/12/15,2016/03/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/466/805/GCF_001466805.2_Raegyp2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/466/805/GCA_001466805.2_Raegyp2.0
"Cathartes aura","",SAMN02319050 ,PRJNA212890,"Animals","Birds",1152.57,41.1,GCA_000699945.1 ,-,JMFT01,104141,11866,11361,2014/05/08,2016/11/17,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/945/GCA_000699945.1_ASM69994v1
"Acanthaster planci","",SAMD00054104 ,PRJDB3175,"Animals","Other Animals",383.844,41.5,GCA_001949145.1 ,-,BDGF01,1765,-,-,2016/12/17,2016/12/17,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/949/145/GCA_001949145.1_OKI-Apl_1.0
"Panthera pardus","",SAMN04347630 ,PRJNA355165,"Animals","Mammals",2578.02,41.9,GCA_001857705.1 ,mitochondrion MT:NC_010641.1/EF551002.1,LQGZ01,50377,33968,57954,2016/08/24,2016/11/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/857/705/GCF_001857705.1_PanPar1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/857/705/GCA_001857705.1_PanPar1.0
"Tilletia walkeri","DAOM 236422",SAMN04543208 ,PRJNA314785,"Fungi","Basidiomycetes",24.3447,54.8,GCA_001645055.1 ,-,LWDG01,972,7970,7970,2016/05/16,2016/05/16,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/645/055/GCA_001645055.1_ASM164505v1
"Toxocara canis","",SAMN02905866 ,PRJNA248777,"Animals","Roundworms",317.116,40.4,GCA_000803305.1 ,-,JPKZ01,22857,18596,18596,2014/12/18,2015/03/11,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/803/305/GCA_000803305.1_Toxocara_canis_adult_r1.0
"Gallirallus okinawae","",SAMD00050839 ,PRJDB4707,"Animals","Birds",1114.53,42.7,GCA_002003005.1 ,-,BDFH01,768680,-,-,2016/07/01,2016/07/01,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/003/005/GCA_002003005.1_Gallirallus_okinawae_ver1.0
"Dermatophagoides pteronyssinus","airmid",SAMN06062376 ,PRJNA353927,"Animals","Other Animals",62.1125,-,GCA_001901225.1 ,-,MQNO01,7938,-,-,2016/12/12,2016/12/12,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/225/GCA_001901225.1_ASM190122v1
"Bison bison bison","",SAMN02947321 ,PRJNA266339,"Animals","Mammals",2828.03,42.2,GCA_000754665.1 ,mitochondrion MT:NC_012346.1/EU177871.1,JPYT01,128431,26592,35554,2014/09/15,2014/10/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/665/GCF_000754665.1_Bison_UMD1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/754/665/GCA_000754665.1_Bison_UMD1.0
"Plasmodium fragile","nilgiri",SAMN00013493 ,PRJNA67411,"Protists","Apicomplexans",25.9145,42.1,GCA_000956335.1 ,-,JOOM01,248,5744,5672,2014/06/25,2015/03/20,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/335/GCF_000956335.1_Plas_frag_nilgiri_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/956/335/GCA_000956335.1_Plas_frag_nilgiri_V1
"Parachlorella kessleri","NIES-2152",SAMD00025188 ,PRJDB3487,"Plants","Green Algae",59.1878,58.3,GCA_001598975.1 ,-,BBXU01,3651,-,-,2015/12/19,2016/03/24,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/598/975/GCA_001598975.1_PK2152_assembly
"Angiostrongylus costaricensis","Costa Rica",SAMEA1463533 ,PRJEB494,"Animals","Roundworms",262.783,41.3,GCA_000951015.1 ,-,-,6384,-,-,-,-,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/015/GCA_000951015.1_A_costaricensis_Costa_Rica
"Brettanomyces custersianus","CBS 4805",SAMN05571464 ,PRJNA335567,"Fungi","Ascomycetes",10.2194,40,GCA_001746385.1 ,-,MDVK01,179,-,-,2016/09/25,2016/09/25,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/385/GCA_001746385.1_ASM174638v1
"Dermatophagoides farinae","",SAMN02383949 ,PRJNA174061,"Animals","Other Animals",53.5453,31.1,GCA_000767015.1 ,-,ASGP01,515,-,-,2014/10/15,2014/10/15,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/015/GCA_000767015.1_Dfarinae1.0
"Sinocyclocheilus grahami","",SAMN03320097 ,PRJNA316320,"Animals","Fishes",1750.29,38.7,GCA_001515645.1 ,mitochondrion MT:NC_013189.1/GQ148557.1,LCYQ01,31277,54207,67410,2015/12/16,2016/01/04,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/515/645/GCF_001515645.1_SAMN03320097.WGS_v1.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/645/GCA_001515645.1_SAMN03320097.WGS_v1.1
"Strongylus vulgaris","",SAMEA1529933 ,PRJEB531,"Animals","Roundworms",291.096,38.9,GCA_000951515.1 ,-,-,167310,-,-,-,-,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/515/GCA_000951515.1_S_vulgaris_Kentucky
"Candida sojae","GF41",SAMN04192112 ,PRJNA299010,"Fungi","Ascomycetes",11.7473,32.4,GCA_001442715.1 ,-,LMTL01,511,-,-,2015/11/12,2016/03/17,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/442/715/GCA_001442715.1_ASM144271v1
"Paramecium caudatum","43c3d",SAMN02768576 ,PRJNA246569,"Protists","Other Protists",30.4809,28.6,GCA_000715435.1 ,-,JMSD01,777,-,-,2014/06/30,2014/08/21,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/715/435/GCA_000715435.1_caudatum_43c3d_assembly_v1
"Hydatigera taeniaeformis","",SAMEA2034687 ,PRJEB534,"Animals","Flatworms",103.665,43.2,GCA_000951575.1 ,-,-,30091,-,-,-,-,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/575/GCA_000951575.1_H_taeniaeformis_Canary_Islands
"Castor canadensis","",SAMN06187566 ,PRJNA371604,"Animals","Mammals",2518.31,-,GCA_001984765.1 ,-,MTKA01,21157,-,-,2017/02/04,2017/02/04,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/984/765/GCF_001984765.1_C.can_genome_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/984/765/GCA_001984765.1_C.can_genome_v1.0
"Rhinopithecus bieti","",SAMN02786331 ,PRJNA339282,"Animals","Mammals",2977.07,41.5,GCA_001698545.1 ,mitochondrion MT:NC_015486.1/HM125579.1,MCGX01,105032,31734,49595,2016/08/03,2016/08/03,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/698/545/GCF_001698545.1_ASM169854v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/698/545/GCA_001698545.1_ASM169854v1
"Spirometra erinaceieuropaei","",SAMEA2030242 ,PRJEB1202,"Animals","Flatworms",1258.72,45.3,GCA_000951995.1 ,-,-,482396,-,-,-,-,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/995/GCA_000951995.1_S_erinaceieuropaei
"Enterobius vermicularis","",SAMEA1979798 ,PRJEB503,"Animals","Roundworms",150.051,33.2,GCA_000951215.1 ,-,-,19832,-,-,-,-,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/215/GCA_000951215.1_E_vermicularis_Canary_Islands
"Steganacarus magnus","",SAMN03463192 ,PRJNA280488,"Animals","Other Animals",113.565,29.2,GCA_000988885.1 ,-,LBFN01,101545,-,-,2015/05/06,2015/05/06,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/885/GCA_000988885.1_ASM98888v1
"Trifolium subterraneum","",SAMD00004201 ,PRJDB2012,"Plants","Land Plants",471.834,35.2,GCA_001742945.1 ,-,BCLP01,27424,42683,42059,2016/07/16,2016/07/16,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/742/945/GCA_001742945.1_TSUd_r1.1
"Pachysolen tannophilus NRRL Y-2460","NRRL Y-2460",SAMN00016633 ,PRJNA69545,"Fungi","Ascomycetes",12.5962,30.3,GCA_001661245.1 ,-,LZCH01,197,5797,5666,2016/06/10,2016/09/15,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/245/GCA_001661245.1_Pacta1_2
"Botryobasidium botryosum FD-172 SS1","FD-172 SS1",SAMN00632712 ,PRJNA69807,"Fungi","Basidiomycetes",46.6743,52.3,GCA_000697705.1 ,-,AYEP01,334,16665,16502,2014/06/03,2014/07/10,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/705/GCA_000697705.1_Botbo1
"Phialocephala subalpina","UAMH 11012",SAMEA3883069 ,PRJEB12348,"Fungi","Ascomycetes",69.693,44,GCA_900073065.1 ,-,FJOG01,205,20284,20173,2016/12/02,2016/12/02,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/073/065/GCA_900073065.1_PAC_version_1
"Pygocentrus nattereri","",SAMN04522165 ,PRJNA331139,"Animals","Fishes",1285.35,40.6001,GCA_001682695.1 ,mitochondrion MT:NC_015840.1/AP012000.1,MAUM01,283518,28178,44364,2016/07/08,2016/07/12,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/682/695/GCF_001682695.1_Pygocentrus_nattereri-1.0.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/682/695/GCA_001682695.1_Pygocentrus_nattereri-1.0.2
"Lagenaria siceraria","",SAMN02981541 ,PRJNA200441,"Plants","Land Plants",176.727,32.3,GCA_000466325.1 ,-,ATBX01,305112,-,-,2013/09/11,2014/08/11,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/325/GCA_000466325.1_Bottle_gourd
"Bankia setacea","BS02",SAMN05956373 ,PRJNA351858,"Animals","Other Animals",3.8676,47.8,GCA_001922985.1 ,-,MRUH01,171,-,-,2016/12/28,2016/12/28,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/922/985/GCA_001922985.1_ASM192298v1
"Chinchilla lanigera","",SAMN00632093 ,PRJNA68239,"Animals","Mammals",2390.87,41.4,GCA_000276665.1 ,mitochondrion MT:NC_021386.1/JX312692.1,AGCD01,2839,30308,45449,2012/07/06,2013/11/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/665/GCF_000276665.1_ChiLan1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/665/GCA_000276665.1_ChiLan1.0
"Hypholoma sublateritium FD-334 SS-4","FD-334 SS-4",SAMN00771374 ,PRJNA70685,"Fungi","Basidiomycetes",48.0318,51,GCA_000827495.1 ,-,JMSJ01,704,17997,17771,2015/01/21,2016/04/15,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/495/GCA_000827495.1_Hypsu1
"Leptonychotes weddellii","",SAMN00672463 ,PRJNA232772,"Animals","Mammals",3156.9,43.8,GCA_000349705.1 ,mitochondrion MT:NC_008424.1/AM181025.1,APMU01,16711,25803,25718,2013/03/28,2013/03/29,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/705/GCF_000349705.1_LepWed1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/705/GCA_000349705.1_LepWed1.0
"Pieris rapae","",SAMN04866668 ,PRJNA318727,"Animals","Insects",245.871,32.3,GCA_001856805.1 ,-,LWME01,7348,-,-,2016/10/16,2016/10/16,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/856/805/GCA_001856805.1_P_rapae_3842_assembly_v2
