#Organism/Name,BioProject,Group,SubGroup,Size (Kb),GC%,Host,Segmemts,Genes,Proteins,Release Date,Modify Date,Level
"Mycobacterium phage Solon",PRJNA31287,"dsDNA viruses, no RNA stage","Siphoviridae",49.487,63.8,"bacteria", Unknown:NC_011267.1/EU826470.1,86,86,2008/09/01,2011/11/29,Complete Genome
"Mycobacterium phage Cali",PRJNA31291,"dsDNA viruses, no RNA stage","Myoviridae",155.372,64.7,"bacteria", Unknown:NC_011271.1/EU826471.1,257,222,2008/09/01,2008/09/18,Complete Genome
"Sus scrofa papillomavirus 1",PRJNA32003,"dsDNA viruses, no RNA stage","Papillomaviridae",7.26,53.8,"vertebrates", Unknown:NC_011280.1/EF395818.1,6,6,2008/09/23,2010/03/26,Complete Genome
"Mycobacterium phage Brujita",PRJNA32005,"dsDNA viruses, no RNA stage","Siphoviridae",47.057,66.8,"bacteria", Unknown:NC_011291.1/FJ168659.1,74,74,2008/09/24,2017/01/13,Complete Genome
"Mycobacterium phage Gumball",PRJNA32009,"dsDNA viruses, no RNA stage","Siphoviridae",64.807,59.6,"bacteria", Unknown:NC_011290.1/FJ168661.1,88,88,2008/09/24,2010/03/26,Complete Genome
"Mycobacterium phage Troll4",PRJNA32011,"dsDNA viruses, no RNA stage","Siphoviridae",64.618,59.6,"bacteria", Unknown:NC_011285.1/FJ168662.1,84,84,2008/09/24,2010/03/26,Complete Genome
"Mycobacterium phage Fruitloop",PRJNA32013,"dsDNA viruses, no RNA stage","Siphoviridae",58.471,61.8,"bacteria", Unknown:NC_011288.1/FJ174690.1,102,102,2008/09/24,2010/03/26,Complete Genome
"Mycobacterium phage Konstantine",PRJNA32015,"dsDNA viruses, no RNA stage","Siphoviridae",68.952,57.3,"bacteria", Unknown:NC_011292.1/FJ174691.1,95,95,2008/09/24,2008/09/25,Complete Genome
"Mycobacterium phage Pacc40",PRJNA32017,"dsDNA viruses, no RNA stage","Siphoviridae",58.554,61.3,"bacteria", Unknown:NC_011287.1/FJ174692.1,101,101,2008/09/24,2010/03/26,Complete Genome
"Mycobacterium phage Ramsey",PRJNA32019,"dsDNA viruses, no RNA stage","Siphoviridae",58.578,61.2,"bacteria", Unknown:NC_011289.1/FJ174693.1,108,108,2008/09/24,2010/03/26,Complete Genome
"Listeria phage P40",PRJNA32073,"dsDNA viruses, no RNA stage","Siphoviridae",35.638,39.3,"bacteria", Unknown:NC_011308.1/EU855793.1,62,62,2008/09/30,2009/11/23,Complete Genome
"Jatropha yellow mosaic India virus",PRJNA32075,"ssDNA viruses","Geminiviridae",2.757,43.6,"plants", Unknown:NC_011309.1/FJ177030.2,6,6,2008/09/30,2015/02/10,Complete Genome
"Myotis polyomavirus VM-2008",PRJNA32077,"dsDNA viruses, no RNA stage","Polyomaviridae",5.081,41.7,"vertebrates", Unknown:NC_011310.1/FJ188392.1,6,6,2008/09/30,2010/03/26,Complete Genome
"Anopheles gambiae densovirus",PRJNA32101,"ssDNA viruses","Parvoviridae",4.139,37.9,"invertebrates", Unknown:NC_011317.1/EU233812.1,3,3,2008/10/01,2015/02/10,Complete Genome
"Clostridium phage phiCP39-O",PRJNA32103,"dsDNA viruses, no RNA stage","Siphoviridae",38.753,30.4,"bacteria", Unknown:NC_011318.1/EU588980.1,62,62,2008/10/01,2011/02/04,Complete Genome
"Diadromus pulchellus ascovirus 4a",PRJNA32133,"dsDNA viruses, no RNA stage","Ascoviridae",119.343,49.7,"invertebrates", Unknown:NC_011335.1/CU469068.1,119,119,2008/10/02,2016/01/15,Complete Genome
"Agrotis ipsilon multiple nucleopolyhedrovirus",PRJNA32171,"dsDNA viruses, no RNA stage","Baculoviridae",155.122,48.6,"invertebrates", Unknown:NC_011345.1/EU839994.1,163,163,2008/10/08,2008/10/09,Complete Genome
"Staphylococcus phage phi2958PVL",PRJNA32173,"unclassified phages","unclassified",47.342,33,"bacteria", Unknown:NC_011344.1/AP009363.1,60,60,2008/10/08,2009/03/19,Complete Genome
"Clerodendrum golden mosaic China virus",PRJNA32175,"ssDNA viruses","Geminiviridae",5.515,43.404,"plants", DNA A:NC_011346.1/FJ011668.1;  DNA B:NC_011347.1/FJ011669.1,8,8,2008/10/06,2010/01/28,Complete Genome
"Senecavirus A",PRJNA32193,"ssRNA viruses","Picornaviridae",7.31,51.4,"vertebrates", Unknown:NC_011349.1/DQ641257.1,1,1,2006/06/19,2008/10/10,Complete Genome
"Stx2-converting phage 1717",PRJNA32213,"dsDNA viruses, no RNA stage","Siphoviridae",62.147,50.9,"bacteria", Unknown:NC_011357.1/FJ188381.1,81,77,2008/10/14,2010/03/26,Complete Genome
"Enterobacteria phage YYZ-2008",PRJNA32231,"unclassified phages","unclassified",54.896,51.1,"bacteria", Unknown:NC_011356.1/FJ184280.1,75,75,2008/10/12,2010/03/26,Complete Genome
"Botrytis cinerea mitovirus 1",PRJNA32247,"ssRNA viruses","Narnaviridae",2.805,33.2,"fungi", Unknown:NC_011372.1/EF580100.3,1,1,2007/06/04,2011/01/19,Complete Genome
"Pseudomonas phage PAJU2",PRJNA32249,"dsDNA viruses, no RNA stage","Siphoviridae",46.872,56.3,"bacteria", Unknown:NC_011373.1/AP009624.1,79,79,2008/10/16,2009/02/18,Complete Genome
"Lactococcus phage bIL67",PRJNA32321,"dsDNA viruses, no RNA stage","Siphoviridae",22.195,36,"bacteria", Unknown:NC_001629.1/L33769.1,37,37,1994/08/04,2011/12/15,Complete Genome
"Clostridium virus phiCD27",PRJNA32323,"dsDNA viruses, no RNA stage","Myoviridae",50.93,29.3,"bacteria", Unknown:NC_011398.1/EU719189.1,75,75,2008/10/20,2008/11/04,Complete Genome
"Ralstonia phage RSM3",PRJNA32325,"ssDNA viruses","Inoviridae",8.929,59.6,"bacteria", Unknown:NC_011399.1/AB434711.1,14,14,2008/10/18,2013/06/25,Complete Genome
"East African cassava mosaic Kenya virus",PRJNA32329,"ssDNA viruses","Geminiviridae",5.573,44.5075,"plants", DNA A:NC_011583.1/AJ717572.1;  DNA B:NC_011584.1/AJ704971.1,8,8,2006/03/09,2015/02/10,Complete Genome
"Bacillus virus SPO1",PRJNA32379,"dsDNA viruses, no RNA stage","Myoviridae",132.562,40,"bacteria", Unknown:NC_011421.1/FJ230960.1,209,204,2008/10/27,2009/08/04,Complete Genome
"Adoxophyes orana nucleopolyhedrovirus",PRJNA32387,"dsDNA viruses, no RNA stage","Baculoviridae",111.724,35,"invertebrates", Unknown:NC_011423.1/EU591746.1,121,121,2008/10/26,2012/04/30,Complete Genome
"Rotavirus A",PRJNA32521,"dsRNA viruses","Reoviridae",18.562,33.7338,"vertebrates, human", 1:NC_011507.2/DQ838640.2;  10:NC_011504.2/DQ838625.2;  11:NC_011505.2/DQ838630.2;  2:NC_011506.2/DQ838635.2;  3:NC_011508.2/DQ838645.2;  4:NC_011510.2/DQ841262.2;  5:NC_011500.2/DQ838599.2;  6:NC_011509.2/DQ838650.2;  7:NC_011501.2/DQ838610.2;  8:NC_011502.2/DQ838615.2;  9:NC_011503.2/DQ838620.2,12,12,2007/01/30,2011/10/18,Complete Genome
"Bacillus phage AP50",PRJNA32599,"dsDNA viruses, no RNA stage","Tectiviridae",14.398,38.7,"bacteria", Unknown:NC_011523.1/EU408779.1,31,31,2008/11/05,2010/03/26,Complete Genome
"Potato latent virus",PRJNA32629,"ssRNA viruses","Betaflexiviridae",7.89,45.6,"plants", Unknown:NC_011525.1/EU433397.2,6,6,2008/02/20,2009/11/17,Complete Genome
"Lettuce yellow mottle virus",PRJNA32669,"ssRNA viruses","Rhabdoviridae",12.926,43,"invertebrates, plants", Unknown:NC_011532.1/EF687738.1,6,6,2008/02/28,2015/02/10,Complete Genome
"Kluyvera phage Kvp1",PRJNA32673,"dsDNA viruses, no RNA stage","Podoviridae",39.472,48.6,"bacteria", Unknown:NC_011534.1/FJ194439.1,48,47,2008/11/11,2015/02/10,Complete Genome
"Grapevine Algerian latent virus",PRJNA32675,"ssRNA viruses","Tombusviridae",4.731,49.1,"plants", Unknown:NC_011535.1/AY830918.1,5,5,2005/05/30,2015/02/10,Complete Genome
"Imperata yellow mottle virus",PRJNA32677,"ssRNA viruses","unclassified",4.547,53.7,"plants", Unknown:NC_011536.1/AM990928.1,5,5,2008/09/30,2015/02/10,Complete Genome
"Scrophularia mottle virus",PRJNA32679,"ssRNA viruses","Tymoviridae",6.206,50.3,"invertebrates, plants", Unknown:NC_011537.1/AY751777.1,3,3,2005/10/23,2015/02/10,Complete Genome
"Nemesia ring necrosis virus",PRJNA32681,"ssRNA viruses","Tymoviridae",6.285,57.2,"invertebrates, plants", Unknown:NC_011538.1/AY751778.1,3,3,2005/09/21,2015/02/10,Complete Genome
"Plantago mottle virus",PRJNA32683,"ssRNA viruses","Tymoviridae",6.154,51.1,"invertebrates, plants", Unknown:NC_011539.1/AY751779.1,3,3,2005/10/23,2015/02/10,Complete Genome
"Hippeastrum latent virus",PRJNA32685,"ssRNA viruses","Betaflexiviridae",8.5,47,"plants", Unknown:NC_011540.1/DQ098905.1,6,6,2005/07/20,2015/02/10,Complete Genome
"Narcissus yellow stripe virus",PRJNA32687,"ssRNA viruses","Potyviridae",9.65,43.2,"plants", Unknown:NC_011541.1/AM158908.1,2,2,2006/07/20,2015/02/10,Complete Genome
"Maize Iranian mosaic virus",PRJNA32689,"ssRNA viruses","Rhabdoviridae",12.381,46.1,"invertebrates, plants", Unknown:NC_011542.1/DQ186554.1,6,6,2008/08/21,2015/02/10,Complete Genome
"Hosta virus X",PRJNA32693,"ssRNA viruses","Alphaflexiviridae",6.528,52.3,"plants", Unknown:NC_011544.1/AJ620114.1,5,5,2005/02/01,2015/02/10,Complete Genome
"Simian T-cell lymphotropic virus 6",PRJNA32697,"Retro-transcribing viruses","Retroviridae",8.913,51.9,"vertebrates", Unknown:NC_011546.1/EU231644.1,6,6,2008/11/10,2016/07/26,Complete Genome
"Bacteriophage APSE-2",PRJNA32705,"dsDNA viruses, no RNA stage","Podoviridae",39.867,42.9,"bacteria", Unknown:NC_011551.1/EU794049.1,42,41,2008/11/08,2010/03/26,Complete Genome
"Blackberry chlorotic ringspot virus",PRJNA32707,"ssRNA viruses","Bromoviridae",8.647,42.8401,"plants", RNA 1:NC_011553.1/DQ091193.1;  RNA 2:NC_011554.1/DQ091194.2;  RNA 3:NC_011555.2/DQ091195.2,5,5,2006/01/01,2010/04/08,Complete Genome
"Beet cryptic virus 1",PRJNA32709,"dsRNA viruses","Partitiviridae",3.791,47.7283,"plants", RNA 1:NC_011556.1/EU489061.1;  RNA 2:NC_011557.1/EU489062.1,2,2,2008/03/31,2010/04/08,Complete Genome
"Anagyris vein yellowing virus",PRJNA32713,"ssRNA viruses","Tymoviridae",6.151,50.9,"invertebrates, plants", Unknown:NC_011559.1/AY751780.1,3,3,2005/10/23,2015/02/10,Complete Genome
"Zantedeschia mild mosaic virus",PRJNA32715,"ssRNA viruses","Potyviridae",9.973,43.9,"plants", Unknown:NC_011560.1/AY626825.4,2,2,2005/05/28,2015/02/10,Complete Genome
"Peach mosaic virus",PRJNA32727,"ssRNA viruses","Betaflexiviridae",7.988,41.3,"plants", Unknown:NC_011552.1/DQ117579.1,4,4,2006/04/12,2009/01/20,Complete Genome
"Caviid betaherpesvirus 2",PRJNA188730,"dsDNA viruses, no RNA stage","Herpesviridae",233.501,55,"vertebrates", Unknown:NC_020231.1/KC503762.1,110,110,2013/02/06,2013/04/19,Complete Genome
"Oryctes rhinoceros nudivirus",PRJNA32781,"dsDNA viruses, no RNA stage","Nudiviridae",127.615,41.6,"invertebrates", Unknown:NC_011588.1/EU747721.1,139,139,2008/11/15,2008/11/18,Complete Genome
"Stenotrophomonas phage S1",PRJNA32787,"dsDNA viruses, no RNA stage","Siphoviridae",40.287,63.7,"bacteria", Unknown:NC_011589.1/EU849489.1,48,48,2008/11/15,2010/03/26,Complete Genome
"Southern tomato virus",PRJNA32821,"dsRNA viruses","Amalgaviridae",3.437,48.4,"plants", Unknown:NC_011591.1/EF442780.1,2,2,2007/10/16,2010/02/19,Complete Genome
"Bougainvillea chlorotic vein banding virus",PRJNA32823,"Retro-transcribing viruses","Caulimoviridae",8.759,42.1,"plants", Unknown:NC_011592.1/EU034539.1,4,4,2007/08/06,2008/11/24,Complete Genome
"Pseudomonas phage MP38",PRJNA32995,"dsDNA viruses, no RNA stage","Siphoviridae",36.885,64.5,"bacteria", Unknown:NC_011611.1/EU272037.1,51,51,2008/11/30,2010/03/26,Complete Genome
"Staphylococcus phage Ipla35",PRJNA32997,"dsDNA viruses, no RNA stage","Siphoviridae",45.344,33.2,"bacteria", Unknown:NC_011612.1/EU861005.1,62,62,2008/12/01,2009/12/15,Complete Genome
"Pseudomonas phage MP29",PRJNA32999,"dsDNA viruses, no RNA stage","Siphoviridae",36.632,64.3,"bacteria", Unknown:NC_011613.1/EU272036.1,51,51,2008/11/30,2012/07/20,Complete Genome
"Staphylococcus phage Ipla88",PRJNA33001,"dsDNA viruses, no RNA stage","Siphoviridae",42.526,34.9,"bacteria", Unknown:NC_011614.1/EU861004.1,61,60,2008/12/01,2009/12/15,Complete Genome
"Spodoptera litura nucleopolyhedrovirus II",PRJNA33005,"dsDNA viruses, no RNA stage","Baculoviridae",148.634,45,"invertebrates", Unknown:NC_011616.1/EU780426.1,147,147,2008/11/30,2008/12/02,Complete Genome
"Wongabel virus",PRJNA33129,"ssRNA viruses","Rhabdoviridae",13.196,34.9,"invertebrates", Unknown:NC_011639.1/EF612701.1,10,10,2008/04/29,2008/12/09,Complete Genome
"Soybean yellow mottle mosaic virus",PRJNA33135,"ssRNA viruses","Tombusviridae",4.009,50.2,"plants", Unknown:NC_011643.1/FJ457015.1,5,5,2008/12/08,2009/11/10,Complete Genome
"Equid alphaherpesvirus 9",PRJNA33137,"dsDNA viruses, no RNA stage","Herpesviridae",148.371,56.1,"vertebrates", Unknown:NC_011644.1/AP010838.1,80,80,2008/12/06,2010/04/23,Complete Genome
"Bacillus phage TP21-L",PRJNA33139,"dsDNA viruses, no RNA stage","Siphoviridae",37.456,37.8,"bacteria", Unknown:NC_011645.1/EU887664.1,56,56,2008/12/09,2011/03/18,Complete Genome
"Abalone shriveling syndrome-associated virus",PRJNA33141,"dsDNA viruses, no RNA stage","unclassified",34.952,39.5,"invertebrates", Unknown:NC_011646.1/EU350361.2,31,31,2008/01/14,2008/12/10,Complete Genome
"Schlumbergera virus X",PRJNA33189,"ssRNA viruses","Alphaflexiviridae",6.633,47.1,"plants", Unknown:NC_011659.1/AY366207.2,5,5,2004/04/23,2015/02/10,Complete Genome
"Grapevine leafroll-associated virus 10",PRJNA33263,"ssRNA viruses","Closteroviridae",13.696,44.5,"plants", Unknown:NC_011702.1/AM182328.4,7,7,2008/06/24,2016/07/24,Complete Genome
"Pseudomonas phage 14-1",PRJNA33265,"dsDNA viruses, no RNA stage","Myoviridae",66.235,55.6,"bacteria", Unknown:NC_011703.1/FM897211.1,90,90,2008/12/14,2011/02/04,Complete Genome
"Rabbit calicivirus Australia 1 MIC-07",PRJNA33267,"ssRNA viruses","Caliciviridae",7.422,47.9,"vertebrates", Unknown:NC_011704.1/EU871528.1,2,2,2008/12/12,2009/02/27,Complete Genome
"Raphanus sativus cryptic virus 3",PRJNA33269,"dsRNA viruses","Partitiviridae",3.19,43.5877,"plants", 1:NC_011705.1/FJ461349.1;  2:NC_011706.1/FJ461350.1,2,2,2008/12/15,2008/12/17,Complete Genome
"Pseudomonas phage SN",PRJNA33327,"dsDNA viruses, no RNA stage","Myoviridae",66.39,55.6,"bacteria", Unknown:NC_011756.1/FM887021.1,92,92,2008/12/16,2011/02/04,Complete Genome
"Erinaceus europaeus papillomavirus 1",PRJNA33407,"dsDNA viruses, no RNA stage","Papillomaviridae",8.256,41.8,"vertebrates", Unknown:NC_011765.1/FJ379293.1,7,7,2008/12/22,2016/07/24,Complete Genome
"Human T-lymphotropic virus 4",PRJNA33481,"Retro-transcribing viruses","Retroviridae",8.791,56.3,"vertebrates", Unknown:NC_011800.1/EF488483.1,6,6,2008/12/31,2009/01/05,Complete Genome
"Salmonella phage SE1",PRJNA33483,"dsDNA viruses, no RNA stage","Podoviridae",41.941,47,"bacteria", Unknown:NC_011802.1/DQ003260.1,67,67,2008/12/31,2010/03/26,Complete Genome
"Cactus mild mottle virus",PRJNA33485,"ssRNA viruses","Virgaviridae",6.449,42.9,"plants", Unknown:NC_011803.1/EU043335.1,4,4,2008/12/31,2012/04/03,Complete Genome
"Gossypium darwinii symptomless virus",PRJNA33487,"ssDNA viruses","Geminiviridae",2.74,43.6,"plants", Unknown:NC_011804.1/EU365613.1,6,6,2009/01/01,2015/02/10,Complete Genome
"Gossypium punctatum mild leaf curl virus",PRJNA33489,"ssDNA viruses","Geminiviridae",5.462,43.3011,"plants", DNA A:NC_011805.1/EU365617.1;  DNA B:NC_012120.1/EU384576.1,8,8,2009/01/01,2010/01/28,Complete Genome
"Asparagus virus 2",PRJNA33493,"ssRNA viruses","Bromoviridae",8.654,43.1632,"plants", RNA 1:NC_011808.1/EU919666.1;  RNA 2:NC_011809.1/EU919667.1;  RNA 3:NC_011807.1/X86352.1,5,5,1995/04/20,2009/09/09,Complete Genome
"Pseudomonas phage PB1",PRJNA33499,"dsDNA viruses, no RNA stage","Myoviridae",65.764,54.9,"bacteria", Unknown:NC_011810.1/EU716414.1,94,93,2009/01/05,2011/02/04,Complete Genome
"Lactobacillus phage Lv-1",PRJNA33535,"dsDNA viruses, no RNA stage","Siphoviridae",38.934,37,"bacteria", Unknown:NC_011801.1/EU871039.1,47,47,2009/01/01,2009/01/06,Complete Genome
"Erwinia phage phiEa21-4",PRJNA33537,"dsDNA viruses, no RNA stage","Myoviridae",84.576,43.8,"bacteria", Unknown:NC_011811.1/EU710883.1,144,118,2009/01/05,2010/03/26,Complete Genome
"Pepper veinal mottle virus",PRJNA33675,"ssRNA viruses","Potyviridae",9.792,42,"plants", Unknown:NC_011918.1/DQ645484.1,2,2,2009/01/14,2015/02/10,Complete Genome
"Bhendi yellow vein Delhi virus [2004:New Delhi]",PRJNA33677,"ssDNA viruses","Geminiviridae",2.751,44.5,"plants", Unknown:NC_011919.1/FJ515747.1,7,7,2009/01/13,2015/10/20,Complete Genome
"Rudbeckia flower distortion virus",PRJNA33679,"Retro-transcribing viruses","Caulimoviridae",8.222,36.5,"plants", Unknown:NC_011920.1/FJ493469.1,7,7,2009/01/13,2015/02/10,Complete Genome
"Salmonella phage epsilon34",PRJNA33779,"dsDNA viruses, no RNA stage","Podoviridae",43.016,47.3,"bacteria", Unknown:NC_011976.1/EU570103.1,74,73,2009/01/26,2010/03/26,Complete Genome
"Mycobacterium phage Phlyer",PRJNA33871,"dsDNA viruses, no RNA stage","Siphoviridae",69.378,67.5,"bacteria", Unknown:NC_012027.1/FJ641182.1,103,103,2009/02/02,2009/02/03,Complete Genome
"Helleborus net necrosis virus",PRJNA33877,"ssRNA viruses","Betaflexiviridae",8.542,45.1,"plants", Unknown:NC_012038.1/FJ196835.1,6,6,2009/02/03,2011/08/09,Complete Genome
"Bhendi yellow vein Bhubhaneswar virus",PRJNA33885,"ssDNA viruses","Geminiviridae",2.757,43.4,"plants", Unknown:NC_012041.1/FJ589571.1,7,7,2009/02/03,2015/02/10,Complete Genome
"Pseudomonas phage phi2954",PRJNA34533,"dsRNA viruses","Cystoviridae",12.685,53.4352,"bacteria", segment L:NC_012091.2/FJ608823.2;  segment M:NC_012092.1/FJ608824.1;  segment S:NC_012093.1/FJ608825.1,14,14,2009/02/18,2012/01/27,Complete Genome
"Sea turtle tornovirus 1",PRJNA34541,"ssDNA viruses","unclassified",1.898,51.8,"vertebrates", Unknown:NC_012094.1/EU867823.1,3,3,2009/02/17,2016/03/29,Complete Genome
"Pedilanthus leaf curl virus",PRJNA34665,"ssDNA viruses","Geminiviridae",2.764,43.8,"plants", Unknown:NC_012118.1/AM712436.1,6,6,2009/01/10,2015/02/10,Complete Genome
"Equine papillomavirus 2",PRJNA34709,"dsDNA viruses, no RNA stage","Papillomaviridae",7.802,56.1,"vertebrates", Unknown:NC_012123.1/EU503122.1,6,6,2009/02/28,2012/04/30,Complete Genome
"Torque teno zalophus virus 1",PRJNA34735,"ssDNA viruses","Anelloviridae",2.14,44.1,"vertebrates, human", Unknown:NC_012126.1/FJ459582.1,3,3,2009/03/03,2010/01/28,Complete Genome
"Gayfeather mild mottle virus",PRJNA34755,"ssRNA viruses","Bromoviridae",8.499,46.6455,"plants", RNA 1:NC_012134.1/FM881899.1;  RNA 2:NC_012135.1/FM881900.1;  RNA 3:NC_012136.1/FM881901.1,5,5,2009/03/03,2009/03/12,Complete Genome
"Cotton leaf curl Burewala virus",PRJNA34757,"ssDNA viruses","Geminiviridae",2.759,43.3,"plants", Unknown:NC_012137.1/AM421522.1,5,5,2009/01/10,2010/08/11,Complete Genome
"Tomato leaf curl Nigeria virus-[Nigeria:2006]",PRJNA34815,"ssDNA viruses","Geminiviridae",2.784,43.1,"plants", Unknown:NC_012206.1/FJ685621.1,6,6,2009/03/07,2015/02/10,Complete Genome
"Red clover vein mosaic virus",PRJNA34841,"ssRNA viruses","Betaflexiviridae",8.604,43.6,"plants", Unknown:NC_012210.1/FJ685618.1,6,6,2009/03/10,2009/09/08,Complete Genome
"Allium virus X",PRJNA34843,"ssRNA viruses","Alphaflexiviridae",7.118,50.9,"plants", Unknown:NC_012211.2/FJ670570.2,5,5,2009/03/10,2011/11/18,Complete Genome
"Escherichia virus SSL2009a",PRJNA34919,"dsDNA viruses, no RNA stage","Siphoviridae",44.899,54.7,"bacteria", Unknown:NC_012223.2/FJ750948.2,67,67,2009/03/18,2016/01/15,Complete Genome
"Pseudomonas phage phikF77",PRJNA36373,"dsDNA viruses, no RNA stage","Podoviridae",43.152,62.9,"bacteria", Unknown:NC_012418.1/FN263372.1,53,53,2009/03/23,2010/03/26,Complete Genome
"Enterococcus phage EFAP-1",PRJNA36375,"dsDNA viruses, no RNA stage","Siphoviridae",21.115,36.7,"bacteria", Unknown:NC_012419.1/FJ792813.1,24,24,2009/03/24,2010/04/14,Complete Genome
"Rhynchosia golden mosaic Yucatan virus",PRJNA36505,"ssDNA viruses","Geminiviridae",5.139,42.7752,"plants", DNA A:NC_012481.1/EU021216.1;  DNA B:NC_012482.1/FJ792608.1,6,6,2007/08/04,2015/02/10,Complete Genome
"Grapevine Syrah virus 1",PRJNA36515,"ssRNA viruses","Tymoviridae",6.506,59.4,"invertebrates, plants", Unknown:NC_012484.1/FJ436028.1,2,2,2009/03/31,2015/02/10,Complete Genome
"Human papillomavirus type 109",PRJNA36519,"dsDNA viruses, no RNA stage","Papillomaviridae",7.346,38.3,"vertebrates", Unknown:NC_012485.1/EU541441.1,7,7,2009/03/31,2010/12/15,Complete Genome
"Tomato leaf curl Patna virus",PRJNA36527,"ssDNA viruses","Geminiviridae",2.752,42.1,"plants", Unknown:NC_012492.1/EU862323.1,7,7,2009/04/01,2015/02/10,Complete Genome
"Tomato leaf curl Patna betasatellite",PRJNA36541,"Satellites","unclassified",1.349,39.3,"plants", Unknown:NC_012493.1/EU862324.1,1,1,2009/04/01,2015/02/10,Complete Genome
"African oil palm ringspot virus",PRJNA36557,"ssRNA viruses","Betaflexiviridae",7.781,44.4,"plants", Unknown:NC_012519.1/AY072921.2,5,5,2002/02/03,2015/02/10,Complete Genome
"Lactobacillus phage Lb338-1",PRJNA36611,"dsDNA viruses, no RNA stage","Myoviridae",142.111,37.4,"bacteria", Unknown:NC_012530.1/FJ822135.1,199,199,2009/04/05,2009/11/23,Complete Genome
"Solenopsis invicta virus 3",PRJNA36613,"ssRNA viruses","unclassified",10.411,29,"invertebrates", Unknown:NC_012531.1/FJ528584.1,2,2,2009/04/05,2015/10/19,Complete Genome
"Zika virus",PRJNA36615,"ssRNA viruses","Flaviviridae",10.794,50.9,"vertebrates, invertebrates, human", Unknown:NC_012532.1/AY632535.2,1,1,2005/10/30,2016/02/08,Scaffold
"Kedougou virus",PRJNA36617,"ssRNA viruses","Flaviviridae",10.723,52.8,"vertebrates, invertebrates, human", Unknown:NC_012533.1/AY632540.2,1,1,2005/10/30,2016/12/27,Complete Genome
"Bagaza virus",PRJNA36619,"ssRNA viruses","Flaviviridae",10.941,49.5,"vertebrates, invertebrates, human", Unknown:NC_012534.1/AY632545.2,1,1,2005/10/30,2016/12/27,Complete Genome
"Homalodisca vitripennis reovirus",PRJNA36621,"dsRNA viruses","Reoviridae",25.724,38.7039,"invertebrates, plants", S1:NC_012535.1/FJ497789.1;  S10:NC_012544.1/FJ497798.1;  S11:NC_012545.1/FJ497799.1;  S12:NC_012546.1/FJ497800.1;  S2:NC_012536.1/FJ497790.1;  S3:NC_012537.1/FJ497791.1;  S4:NC_012538.1/FJ497792.1;  S5:NC_012539.1/FJ497793.1;  S6:NC_012540.1/FJ497794.1;  S7:NC_012541.1/FJ497795.1;  S8:NC_012542.1/FJ497796.1;  S9:NC_012543.1/FJ497797.1,13,13,2009/04/05,2015/10/29,Complete Genome
